#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w48.oracleGeneral.bin.zst_14097008,20000000000.0,0.8603,0.7949,0.8144,0.8311,0.8516,0.8197,0.8258,0.8008,0.8568,0.8572,0.7926,0.7259,0.8592,0.7738,0.8342,0.8141,0.8099,0.8596,0.8357,0.8344,0.8357,0.7801
w47.oracleGeneral.bin.zst_14314717,300000000.0,0.204,0.1776,0.1759,0.1809,0.2321,0.2053,0.1782,0.1883,0.2091,0.2113,0.1736,0.1081,0.2154,0.177,0.2107,0.1753,0.1787,0.211,0.2172,0.2266,0.1967,0.1766
w61.oracleGeneral.bin.zst_9884691,2968000000.0,0.6466,0.6293,0.6238,0.6258,0.7411,0.6583,0.5893,0.6008,0.64,0.6379,0.6196,0.4425,0.6399,0.6424,0.6681,0.5989,0.6005,0.6409,0.6997,0.6932,0.6133,0.6056
w56.oracleGeneral.bin.zst_10899629,1423000000.0,0.4122,0.344,0.3461,0.343,0.4186,0.3897,0.3543,0.3555,0.379,0.3682,0.3414,0.2362,0.3798,0.3438,0.3881,0.3396,0.3386,0.3888,0.381,0.4011,0.3629,0.3409
w77.oracleGeneral.bin.zst_5616402,1803000000.0,0.6182,0.5925,0.5028,0.5819,0.6284,0.5922,0.5113,0.5345,0.6052,0.5891,0.4771,0.3683,0.6059,0.5349,0.6103,0.5153,0.5266,0.6157,0.5484,0.6149,0.5138,0.5158
w57.oracleGeneral.bin.zst_10554725,1487000000.0,0.4243,0.3535,0.3424,0.3498,0.4245,0.3868,0.3648,0.3631,0.3938,0.3767,0.336,0.2278,0.3928,0.3487,0.3972,0.3412,0.3432,0.4002,0.4042,0.4177,0.365,0.3494
w104.oracleGeneral.bin.zst_3395553,4000000000.0,0.8639,0.9089,0.9071,0.9037,0.8876,0.8875,0.9067,0.8948,0.8747,0.8675,0.8939,0.8371,0.8757,0.9167,0.8964,0.9035,0.8976,0.8593,0.8883,0.8984,0.8883,0.9068
w96.oracleGeneral.bin.zst_3787344,1666000000.0,0.5033,0.5159,0.5042,0.5039,0.5669,0.4966,0.4679,0.4697,0.4854,0.4792,0.4874,0.3216,0.4863,0.5182,0.5144,0.4612,0.4672,0.4884,0.6068,0.5617,0.489,0.4732
w01.oracleGeneral.bin.zst_215796257,63000000000.0,0.7592,0.726,0.7338,0.7261,0.7777,0.7548,0.7552,0.734,0.7536,0.7546,0.7353,0.6621,0.7549,0.7203,0.7473,0.7513,0.726,0.756,0.7266,0.7449,0.7266,0.7174
w53.oracleGeneral.bin.zst_8973978,55000000000.0,0.9006,0.8998,0.8959,0.8998,0.9045,0.8993,0.8994,0.9012,0.8994,0.8988,0.9008,0.7832,0.9,0.8981,0.9012,0.8962,0.8988,0.8998,0.8993,0.9039,0.8993,0.8987
w12.oracleGeneral.bin.zst_45355529,779000000.0,0.083,0.0607,0.0607,0.0605,0.0756,0.0706,0.0622,0.0629,0.0765,0.0662,0.0604,0.0442,0.0703,0.0594,0.0835,0.0608,0.0607,0.0732,0.0763,0.0738,0.0613,0.0615
