#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w72.oracleGeneral.bin.zst,1073741824,0.2734,0.1634,0.2628,0.2402,0.3054,0.3615,0.3303,0.2949,0.3453,0.308,0.2816,0.3748,0.246,0.3371,0.2959,0.2593,0.2553,0.2508,0.2584,0.2396,0.2653
w86.oracleGeneral.bin.zst,17179869184,0.9129,0.8911,0.913,0.9193,0.93,0.9312,0.9307,0.9428,0.9249,0.9296,0.913,0.9449,0.9091,0.9305,0.9305,0.9126,0.9187,0.913,0.9305,0.9079,0.9095
w30.oracleGeneral.bin.zst,5368709120,0.107,0.0674,0.1069,0.1037,0.1,0.1245,0.1259,0.1451,0.1535,0.1314,0.5436,0.2419,0.1053,0.1025,0.098,0.0991,0.1011,0.3545,0.1082,0.1442,0.1095
w48.oracleGeneral.bin.zst,44023414784,0.8076,0.6225,0.8074,0.7359,0.8245,0.8251,0.768,0.7868,0.8018,0.8204,0.7614,0.7597,0.7382,0.8236,0.8227,0.7405,0.7626,0.7614,0.7946,0.6902,0.7532
w26.oracleGeneral.bin.zst,30064771072,0.3433,0.26,0.341,0.3414,0.3584,0.4051,0.4266,0.3432,0.4008,0.3669,0.3644,0.4723,0.3411,0.3627,0.3491,0.3368,0.3412,0.3437,0.3645,0.3524,0.3431
w90.oracleGeneral.bin.zst,3221225472,0.5509,0.2442,0.5509,0.3974,0.5361,0.5404,0.3834,0.5231,0.5913,0.5213,0.7724,0.3887,0.533,0.5367,0.5365,0.5245,0.5226,0.7723,0.5329,0.3853,0.4979
w51.oracleGeneral.bin.zst,4294967296,0.1329,0.1001,0.132,0.1325,0.1425,0.1934,0.2069,0.2004,0.2299,0.1675,0.1498,0.24,0.1312,0.1447,0.1436,0.1343,0.1406,0.1434,0.1411,0.1306,0.1352
w89.oracleGeneral.bin.zst,4294967296,0.3906,0.3517,0.3907,0.3905,0.3963,0.4301,0.4344,0.4104,0.406,0.4041,0.3891,0.4163,0.4063,0.402,0.3949,0.3884,0.3944,0.3891,0.4093,0.4106,0.4012
w101.oracleGeneral.bin.zst,10737418240,0.8058,0.6727,0.8067,0.7817,0.8215,0.8487,0.8008,0.8007,0.814,0.8168,0.8074,0.8154,0.7693,0.8314,0.8298,0.7908,0.8004,0.8074,0.814,0.7679,0.777
w47.oracleGeneral.bin.zst,630194176,0.1326,0.0651,0.1293,0.1095,0.1403,0.1543,0.1614,0.158,0.1837,0.1473,0.1418,0.1715,0.1208,0.1362,0.1373,0.1211,0.1163,0.1216,0.1204,0.1069,0.128
